,feature,importance
0,area,0.368977984650373
532,loc_praha,0.14854072074347205
17,metro,0.06631376811723623
109,loc_brno,0.047500940578018964
20,new_building,0.030984187612381767
11,furnished,0.020298397362034128
31,sightseeing,0.018177110535530602
10,elevator,0.0159237291224812
7,cellar,0.011870236623313124
1,after_reconstruction,0.011678902308279854
44,type_2+kk,0.011673144807102662
3,balcony,0.010731942318340286
42,type_1+kk,0.01065607852521188
19,natural_attraction,0.010600687800694345
23,parking_lots,0.010165421017694744
24,partly_furnished,0.009680832127541832
4,brick,0.009166268480003301
46,type_3+kk,0.008207331447361311
22,panel,0.008186413010513597
36,terrace,0.008168350211297297
12,garage,0.00783044548955301
21,not_furnished,0.007211674014712044
43,type_2+1,0.007176461786173742
15,loggia,0.006294104071313407
427,loc_mlada,0.00500999127993423
45,type_3+1,0.004586869141228962
41,type_1+1,0.00453875013880722
37,theater,0.0035451048132847727
39,tram,0.0034873783879376175
16,medic,0.0034822099329078374
206,loc_havirov,0.0030291481643680137
497,loc_pardubice,0.0028825879819850955
237,loc_hradec,0.0027231060135622168
52,type_pokoj,0.0026493676324864665
18,movies,0.0025877261532750557
489,loc_ostrava,0.0022036798630290415
48,type_4+kk,0.002198352395221669
784,loc_zlin,0.0021853921064341384
368,loc_liberec,0.00218221863815206
30,shop,0.002094775210371265
697,loc_usti,0.001971573346175884
135,loc_ceske,0.0018281698647891781
476,loc_olomouc,0.0018274507874451095
298,loc_kladno,0.0016993039222958156
291,loc_karlovy,0.0016440169098893814
6,candy_shop,0.0015061817101672886
47,type_4+1,0.0013293493693805642
513,loc_plzen,0.0012475653101517916
747,loc_vsetin,0.001239177776440854
40,vet,0.00119654472821884
564,loc_ricany,0.0010719067000563918
168,loc_decin,0.0010398408728816524
273,loc_jihlava,0.0010304896023542605
463,loc_novy,0.001005374830980313
714,loc_velke,0.0009684946047253874
661,loc_teplice,0.0009236650095575386
671,loc_trebic,0.0009161643145234373
518,loc_podebrady,0.0009063409309424486
77,loc_blansko,0.000894992795131748
134,loc_ceska,0.0008838756469878789
63,loc_bedrichov,0.000843451193625729
70,loc_beroun,0.0007950995522896254
308,loc_kolin,0.0007910482030616356
38,train,0.0007879633114804047
51,type_atypické,0.0007708980655205871
656,loc_tabor,0.0007606443743872427
445,loc_nachod,0.0007176413763689956
196,loc_frydek,0.0007174124779145123
2,atm,0.00069629537471334
481,loc_opava,0.0006927692864909168
509,loc_pisek,0.0006908107427562017
613,loc_spindleruv,0.0006301636637033549
173,loc_dobrichovice,0.000627790817386217
144,loc_chomutov,0.0006215035091061154
99,loc_brandys,0.0006138050971842832
284,loc_kadan,0.0006000849656571251
385,loc_litomerice,0.0005834471132638359
359,loc_lednice,0.0005813604418100034
9,drugstore,0.0005761275962087645
687,loc_uherske,0.0005495848067728026
13,in_construction,0.0005421467322133559
180,loc_dolni,0.0005236972037831842
493,loc_otrokovice,0.0005236438666637227
105,loc_breclav,0.0005090404145675901
69,loc_benesov,0.0004921855545474126
